"Link_id";"Link_Direction";"Timestamp";"Congestion"
"14301746";"1";"2026-01-19 15:00:00.000";"Medium"
"14301805";"1";"2026-01-19 15:00:00.000";"High"
"14301857";"1";"2026-01-19 08:30:00.000";"Low"
"14302121";"1";"2026-01-19 15:00:00.000";"Low"
"14302366";"1";"2026-01-19 14:00:00.000";"Low"
"14302441";"1";"2026-01-19 14:00:00.000";"Low"
"14302490";"1";"2026-01-19 15:00:00.000";"Low"
"14312752";"1";"2026-01-18 19:15:00.000";"Low"
"14313197";"1";"2026-01-19 14:15:00.000";"Low"
"14313206";"1";"2026-01-19 14:15:00.000";"Low"
"14315755";"1";"2026-01-19 10:30:00.000";"Medium"
"14315859";"1";"2026-01-19 12:45:00.000";"Low"
"14315859";"2";"2026-01-18 16:45:00.000";"Low"
"14324217";"1";"2026-01-19 15:00:00.000";"Low"
"14324433";"1";"2026-01-19 10:00:00.000";"Low"
"14324654";"2";"2026-01-19 05:15:00.000";"Low"
"14325207";"1";"2026-01-19 13:15:00.000";"Low"
"14325233";"1";"2026-01-19 13:00:00.000";"Low"
"14337884";"1";"2026-01-19 13:45:00.000";"Low"
"14337884";"2";"2026-01-18 20:15:00.000";"Low"
"14338038";"1";"2026-01-18 15:00:00.000";"Low"
"14338255";"1";"2026-01-19 14:45:00.000";"Low"
"14338944";"1";"2026-01-19 13:45:00.000";"Low"
"14339129";"1";"2026-01-19 04:00:00.000";"Low"
"14339129";"2";"2026-01-19 09:45:00.000";"High"
"14339139";"1";"2026-01-19 13:15:00.000";"Low"
"14339139";"2";"2026-01-19 13:15:00.000";"Low"
"14339147";"1";"2026-01-19 15:00:00.000";"Low"
"14339182";"1";"2026-01-19 15:00:00.000";"Low"
"14339401";"1";"2026-01-19 14:45:00.000";"Low"
"14339410";"1";"2026-01-19 14:45:00.000";"Low"
"14339433";"1";"2026-01-19 15:00:00.000";"Low"
"14339485";"1";"2026-01-19 15:00:00.000";"Low"
"14339502";"1";"2026-01-19 15:00:00.000";"Low"
"14339504";"1";"2026-01-19 15:00:00.000";"Low"
"14339512";"1";"2026-01-19 15:00:00.000";"Low"
"14339661";"1";"2026-01-19 15:00:00.000";"Low"
"14341801";"1";"2026-01-19 14:45:00.000";"Low"
"14341855";"1";"2026-01-19 14:45:00.000";"Low"
"14341870";"1";"2026-01-19 10:45:00.000";"Low"
"14341935";"1";"2026-01-18 16:00:00.000";"Low"
"14341937";"1";"2026-01-19 10:45:00.000";"Low"
"14342395";"1";"2026-01-19 12:45:00.000";"Low"
"14342396";"1";"2026-01-19 09:45:00.000";"Low"
"14342606";"1";"2026-01-19 14:15:00.000";"Low"
"14342611";"1";"2026-01-19 14:15:00.000";"Low"
"14342645";"1";"2026-01-19 14:30:00.000";"Low"
"14342655";"1";"2026-01-19 13:45:00.000";"Low"
"14342709";"1";"2026-01-19 14:00:00.000";"Low"
"14342725";"1";"2026-01-19 11:45:00.000";"Low"
"14342740";"1";"2026-01-19 14:30:00.000";"Low"
"14342770";"1";"2026-01-19 14:15:00.000";"Low"
"14342775";"1";"2026-01-19 14:45:00.000";"Low"
"14342787";"1";"2026-01-19 14:30:00.000";"Low"
"14342886";"1";"2026-01-19 12:45:00.000";"Low"
"14342900";"1";"2026-01-19 14:00:00.000";"Low"
"14378472";"1";"2026-01-19 15:00:00.000";"Low"
"14378477";"1";"2026-01-19 15:00:00.000";"Low"
"14378651";"1";"2026-01-19 14:30:00.000";"Low"
"14378652";"2";"2026-01-19 15:00:00.000";"Low"
"14406488";"1";"2026-01-19 13:45:00.000";"Low"
"14406488";"2";"2026-01-19 15:00:00.000";"Low"
"14406656";"2";"2026-01-19 14:45:00.000";"Low"
"14406665";"2";"2026-01-19 14:45:00.000";"Low"
"14406949";"1";"2026-01-19 14:30:00.000";"Low"
"14406987";"1";"2026-01-19 14:15:00.000";"Low"
"14406996";"1";"2026-01-19 10:45:00.000";"Low"
"14407394";"1";"2026-01-19 14:15:00.000";"Low"
"14407399";"1";"2026-01-19 10:45:00.000";"Low"
"14407436";"1";"2026-01-19 14:15:00.000";"Low"
"14407439";"1";"2026-01-19 15:00:00.000";"Low"
"14407750";"1";"2026-01-19 11:30:00.000";"Low"
"14407999";"1";"2026-01-19 10:15:00.000";"Low"
"14408007";"1";"2026-01-19 14:45:00.000";"Low"
"14408441";"1";"2026-01-19 14:45:00.000";"Low"
"14408446";"1";"2026-01-19 09:30:00.000";"Low"
"14408489";"1";"2026-01-19 12:00:00.000";"Low"
"14408494";"1";"2026-01-19 14:45:00.000";"Low"
"14408727";"1";"2026-01-19 14:30:00.000";"Low"
"14409309";"1";"2026-01-19 10:30:00.000";"Low"
"14409319";"1";"2026-01-19 14:45:00.000";"Low"
"14409357";"1";"2026-01-19 12:00:00.000";"Low"
"14409396";"1";"2026-01-19 10:30:00.000";"Low"
"14409438";"1";"2026-01-19 12:00:00.000";"Low"
"14409597";"1";"2026-01-19 12:00:00.000";"Low"
"14409606";"1";"2026-01-19 14:45:00.000";"Low"
"14410063";"1";"2026-01-19 14:30:00.000";"Low"
"14410072";"1";"2026-01-19 12:00:00.000";"Low"
"14410074";"1";"2026-01-19 12:00:00.000";"Low"
"14410140";"1";"2026-01-19 14:45:00.000";"Low"
"14410143";"1";"2026-01-19 14:30:00.000";"Low"
"14410227";"1";"2026-01-19 12:00:00.000";"Low"
"14410233";"1";"2026-01-19 14:45:00.000";"Low"
"14410302";"1";"2026-01-19 11:00:00.000";"Low"
"14410312";"1";"2026-01-19 12:00:00.000";"Low"
"14410320";"1";"2026-01-19 15:00:00.000";"Low"
"14410332";"1";"2026-01-19 14:45:00.000";"Low"
"14427904";"2";"2026-01-19 14:00:00.000";"Low"
"14427954";"1";"2026-01-19 14:45:00.000";"Low"
"14428028";"1";"2026-01-19 12:00:00.000";"Low"
"14429725";"2";"2026-01-18 17:00:00.000";"Low"
"14429918";"1";"2026-01-19 15:00:00.000";"Low"
"14437279";"1";"2026-01-19 14:45:00.000";"Low"
"14437279";"2";"2026-01-19 13:15:00.000";"Low"
"14437322";"1";"2026-01-19 14:30:00.000";"Low"
"14437826";"1";"2026-01-19 15:00:00.000";"Medium"
"14437889";"1";"2026-01-19 15:00:00.000";"Medium"
