"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14406656";"2";"2026-01-19 14:45:00.000";"63";"1"
"14406665";"2";"2026-01-19 14:45:00.000";"55";"1"
"14406949";"1";"2026-01-19 14:30:00.000";"110";"1"
"14406987";"1";"2026-01-19 14:15:00.000";"97";"1"
"14406996";"1";"2026-01-19 10:45:00.000";"70";"1"
"14407394";"1";"2026-01-19 14:15:00.000";"74";"1"
"14407399";"1";"2026-01-19 10:45:00.000";"78";"1"
"14407436";"1";"2026-01-19 14:15:00.000";"79";"1"
"14407439";"1";"2026-01-19 15:00:00.000";"76";"1"
"14407750";"1";"2026-01-19 11:30:00.000";"88";"1"
"14407999";"1";"2026-01-19 10:15:00.000";"82";"1"
"14408007";"1";"2026-01-19 14:45:00.000";"90";"1"
"14408441";"1";"2026-01-19 14:45:00.000";"84";"1"
"14408446";"1";"2026-01-19 09:30:00.000";"84";"1"
"14408489";"1";"2026-01-19 12:00:00.000";"55";"1"
"14408494";"1";"2026-01-19 14:45:00.000";"108";"1"
"14408727";"1";"2026-01-19 14:30:00.000";"91";"1"
"14409309";"1";"2026-01-19 10:30:00.000";"63";"1"
"14409319";"1";"2026-01-19 14:45:00.000";"105";"1"
"14409357";"1";"2026-01-19 12:00:00.000";"114";"1"
"14409396";"1";"2026-01-19 10:30:00.000";"58";"1"
"14409438";"1";"2026-01-19 12:00:00.000";"113";"1"
"14409597";"1";"2026-01-19 12:00:00.000";"122";"1"
"14409606";"1";"2026-01-19 14:45:00.000";"143";"1"
"14410063";"1";"2026-01-19 14:30:00.000";"149";"1"
"14410072";"1";"2026-01-19 12:00:00.000";"143";"1"
"14410074";"1";"2026-01-19 12:00:00.000";"144";"1"
"14410140";"1";"2026-01-19 14:45:00.000";"140";"1"
"14410143";"1";"2026-01-19 14:30:00.000";"152";"1"
"14410227";"1";"2026-01-19 12:00:00.000";"141";"1"
"14410233";"1";"2026-01-19 14:45:00.000";"145";"1"
"14410302";"1";"2026-01-19 11:00:00.000";"71";"1"
"14410312";"1";"2026-01-19 12:00:00.000";"82";"1"
"14410320";"1";"2026-01-19 15:00:00.000";"60";"1"
"14410332";"1";"2026-01-19 14:45:00.000";"158";"1"
"14427904";"2";"2026-01-19 14:00:00.000";"52";"1"
"14427954";"1";"2026-01-19 14:45:00.000";"91";"1"
"14428028";"1";"2026-01-19 12:00:00.000";"120";"1"
"14429725";"2";"2026-01-18 17:00:00.000";"26";"1"
"14429918";"1";"2026-01-19 15:00:00.000";"25";"1"
"14437279";"1";"2026-01-19 14:45:00.000";"46";"1"
"14437279";"2";"2026-01-19 13:15:00.000";"43";"1"
"14437322";"1";"2026-01-19 14:30:00.000";"86";"1"
"14437826";"1";"2026-01-19 15:00:00.000";"20";"1"
"14437889";"1";"2026-01-19 15:00:00.000";"33";"2"
"14437894";"1";"2026-01-19 13:00:00.000";"66";"1"
"14437901";"1";"2026-01-19 14:30:00.000";"68";"1"
"14437917";"1";"2026-01-19 15:00:00.000";"62";"2"
"14437962";"1";"2026-01-19 14:45:00.000";"52";"1"
"14437967";"1";"2026-01-19 15:00:00.000";"64";"1"
"14437981";"1";"2026-01-19 14:45:00.000";"44";"1"
"14438000";"1";"2026-01-19 14:30:00.000";"58";"1"
"14438058";"1";"2026-01-19 15:00:00.000";"53";"4"
"14438066";"1";"2026-01-19 15:00:00.000";"56";"2"
"14438096";"1";"2026-01-19 14:30:00.000";"61";"1"
"14438102";"1";"2026-01-19 14:00:00.000";"57";"1"
"14438127";"1";"2026-01-19 11:00:00.000";"42";"1"
"14438184";"1";"2026-01-19 14:30:00.000";"51";"1"
"14438186";"1";"2026-01-19 15:00:00.000";"26";"3"
"14438255";"1";"2026-01-19 15:00:00.000";"62";"1"
"14438352";"1";"2026-01-19 14:00:00.000";"61";"1"
"14438365";"1";"2026-01-19 11:00:00.000";"38";"1"
"14438451";"1";"2026-01-19 14:15:00.000";"68";"1"
"14438452";"1";"2026-01-19 15:00:00.000";"74";"3"
"14516195";"1";"2026-01-19 09:15:00.000";"21";"1"
"14516195";"2";"2026-01-19 08:45:00.000";"10";"1"
"14516234";"1";"2026-01-19 02:15:00.000";"23";"1"
"14516234";"2";"2026-01-18 19:30:00.000";"19";"1"
"14516814";"2";"2026-01-19 07:45:00.000";"13";"1"
"14516895";"1";"2026-01-19 14:00:00.000";"36";"1"
"14517137";"1";"2026-01-19 12:30:00.000";"15";"1"
"14596132";"1";"2026-01-18 18:30:00.000";"41";"1"
"14624676";"1";"2026-01-19 13:30:00.000";"117";"1"
"14625276";"1";"2026-01-18 18:45:00.000";"33";"1"
"14736428";"2";"2026-01-18 19:15:00.000";"43";"1"
"14740869";"1";"2026-01-19 09:30:00.000";"44";"1"
"14741229";"1";"2026-01-19 12:30:00.000";"40";"1"
"14743066";"1";"2026-01-19 15:00:00.000";"30";"1"
"14743162";"1";"2026-01-19 13:30:00.000";"37";"1"
"14743222";"1";"2026-01-19 15:00:00.000";"53";"2"
"14743222";"2";"2026-01-19 13:45:00.000";"62";"1"
"14743327";"1";"2026-01-19 14:00:00.000";"63";"1"
"14743327";"2";"2026-01-18 16:15:00.000";"65";"1"
"14748762";"1";"2026-01-18 19:00:00.000";"30";"1"
"14748942";"1";"2026-01-19 11:00:00.000";"12";"1"
"14750400";"1";"2026-01-19 08:15:00.000";"26";"1"
"14751179";"2";"2026-01-18 16:30:00.000";"43";"1"
"14751527";"1";"2026-01-19 08:15:00.000";"25";"1"
"14755041";"1";"2026-01-19 03:15:00.000";"39";"1"
"14755041";"2";"2026-01-19 03:15:00.000";"29";"1"
"14755081";"1";"2026-01-19 13:45:00.000";"25";"1"
"14756023";"1";"2026-01-19 11:15:00.000";"52";"1"
"14756023";"2";"2026-01-19 10:15:00.000";"64";"1"
"14765766";"1";"2026-01-18 18:30:00.000";"85";"1"
"14773230";"1";"2026-01-19 12:15:00.000";"12";"1"
"14781305";"1";"2026-01-19 15:00:00.000";"40";"7"
"14781932";"1";"2026-01-19 14:45:00.000";"33";"1"
"14782349";"1";"2026-01-19 15:00:00.000";"23";"3"
"14782480";"1";"2026-01-18 22:00:00.000";"20";"1"
"14783001";"1";"2026-01-19 15:00:00.000";"18";"2"
"14783090";"1";"2026-01-19 15:00:00.000";"24";"4"
"14783245";"1";"2026-01-19 15:00:00.000";"8";"1"
"14783561";"1";"2026-01-19 15:00:00.000";"13";"4"
"14784002";"1";"2026-01-19 13:45:00.000";"38";"1"
"14784185";"1";"2026-01-19 15:00:00.000";"23";"2"
"14784363";"1";"2026-01-19 15:00:00.000";"39";"1"
"14785866";"1";"2026-01-19 15:00:00.000";"18";"2"
"14785963";"1";"2026-01-19 15:00:00.000";"20";"1"
"14786207";"1";"2026-01-19 15:00:00.000";"19";"2"
"14786826";"1";"2026-01-18 23:30:00.000";"23";"1"
"14787061";"1";"2026-01-19 12:15:00.000";"13";"1"
"14787343";"1";"2026-01-19 14:45:00.000";"20";"1"
"14791766";"1";"2026-01-19 15:00:00.000";"43";"2"
"14792921";"1";"2026-01-19 14:45:00.000";"15";"1"
"14794438";"1";"2026-01-19 15:00:00.000";"22";"2"
"14794988";"1";"2026-01-19 15:00:00.000";"33";"7"
"14795503";"1";"2026-01-19 15:00:00.000";"43";"1"
"14795590";"1";"2026-01-19 15:00:00.000";"32";"1"
"14795656";"2";"2026-01-19 08:15:00.000";"35";"1"
"14795856";"1";"2026-01-19 13:00:00.000";"51";"1"
"14795856";"2";"2026-01-19 12:45:00.000";"46";"1"
"14796128";"1";"2026-01-19 15:00:00.000";"40";"1"
"14796237";"2";"2026-01-19 11:45:00.000";"6";"1"
"14796577";"1";"2026-01-19 08:30:00.000";"15";"1"
"14796854";"2";"2026-01-19 15:00:00.000";"24";"1"
"14798183";"1";"2026-01-19 15:00:00.000";"14";"1"
"14798387";"2";"2026-01-19 07:45:00.000";"16";"1"
"14798438";"1";"2026-01-18 15:00:00.000";"13";"1"
"14798438";"2";"2026-01-19 10:00:00.000";"21";"1"
"14798858";"1";"2026-01-19 15:00:00.000";"6";"1"
"14798944";"1";"2026-01-19 14:30:00.000";"25";"1"
"14799032";"1";"2026-01-19 15:00:00.000";"20";"2"
"14799150";"2";"2026-01-19 15:00:00.000";"32";"3"
"14799250";"1";"2026-01-19 13:45:00.000";"19";"1"
"14799416";"1";"2026-01-19 14:00:00.000";"30";"1"
"14799485";"1";"2026-01-19 15:00:00.000";"18";"2"
"14799577";"1";"2026-01-19 15:00:00.000";"32";"1"
"14799706";"1";"2026-01-19 15:00:00.000";"31";"6"
"14799975";"1";"2026-01-19 14:15:00.000";"23";"1"
"14801337";"1";"2026-01-19 15:00:00.000";"35";"1"
"14801337";"2";"2026-01-19 15:00:00.000";"39";"1"
"14801679";"1";"2026-01-19 15:00:00.000";"38";"2"
"14801679";"2";"2026-01-19 15:00:00.000";"41";"2"
"14801834";"1";"2026-01-19 14:15:00.000";"29";"1"
"14801834";"2";"2026-01-19 14:45:00.000";"27";"1"
"14801921";"1";"2026-01-19 15:00:00.000";"28";"1"
"14802356";"1";"2026-01-19 14:30:00.000";"66";"1"
"14802552";"1";"2026-01-18 17:45:00.000";"37";"1"
"14802632";"1";"2026-01-19 14:00:00.000";"57";"1"
"14802803";"1";"2026-01-19 14:45:00.000";"43";"1"
"14803551";"1";"2026-01-19 13:30:00.000";"19";"1"
"14803623";"1";"2026-01-19 15:00:00.000";"24";"1"
"14803773";"1";"2026-01-19 14:45:00.000";"21";"1"
"14804056";"1";"2026-01-19 15:00:00.000";"24";"2"
"14804104";"1";"2026-01-19 15:00:00.000";"25";"1"
"14804195";"1";"2026-01-19 12:45:00.000";"17";"1"
"14804195";"2";"2026-01-19 13:15:00.000";"24";"1"
"14804282";"1";"2026-01-19 15:00:00.000";"29";"1"
"14804466";"1";"2026-01-19 15:00:00.000";"23";"1"
"14804686";"1";"2026-01-19 15:00:00.000";"25";"1"
"14804686";"2";"2026-01-19 15:00:00.000";"26";"1"
"14804971";"1";"2026-01-19 14:15:00.000";"24";"1"
"14804971";"2";"2026-01-19 10:15:00.000";"29";"1"
"14805069";"1";"2026-01-19 15:00:00.000";"13";"4"
"14805240";"1";"2026-01-19 14:30:00.000";"22";"1"
"14805458";"1";"2026-01-19 15:00:00.000";"26";"1"
"14805500";"1";"2026-01-19 14:00:00.000";"22";"1"
"14805644";"1";"2026-01-19 15:00:00.000";"25";"1"
"14805958";"1";"2026-01-19 08:30:00.000";"32";"1"
"14805958";"2";"2026-01-19 11:15:00.000";"31";"1"
"14806195";"1";"2026-01-19 14:00:00.000";"21";"1"
"14806250";"1";"2026-01-19 14:15:00.000";"30";"1"
"14806283";"1";"2026-01-19 15:00:00.000";"27";"1"
"14814626";"2";"2026-01-19 12:30:00.000";"60";"1"
"14815620";"1";"2026-01-19 13:45:00.000";"23";"1"
"14815962";"1";"2026-01-19 13:45:00.000";"20";"1"
"14816718";"1";"2026-01-19 08:15:00.000";"36";"1"
"14818596";"2";"2026-01-19 14:15:00.000";"50";"1"
"14818908";"1";"2026-01-18 16:15:00.000";"29";"1"
"14818908";"2";"2026-01-19 13:30:00.000";"26";"1"
"14819259";"1";"2026-01-19 15:00:00.000";"35";"1"
"14819259";"2";"2026-01-18 21:45:00.000";"24";"1"
"14819329";"1";"2026-01-19 15:00:00.000";"36";"5"
"14819576";"1";"2026-01-19 12:45:00.000";"23";"1"
"14819836";"1";"2026-01-18 18:00:00.000";"9";"1"
"14820026";"1";"2026-01-19 10:15:00.000";"37";"1"
"14820026";"2";"2026-01-19 15:00:00.000";"37";"1"
"14820105";"1";"2026-01-19 12:15:00.000";"27";"1"
"14820351";"1";"2026-01-18 18:30:00.000";"44";"1"
"14820351";"2";"2026-01-19 12:45:00.000";"44";"1"
"14820400";"2";"2026-01-19 01:30:00.000";"26";"1"
"14820451";"2";"2026-01-19 09:00:00.000";"7";"1"
"14820485";"2";"2026-01-19 14:45:00.000";"27";"1"
"14820840";"1";"2026-01-19 13:45:00.000";"55";"1"
"14820840";"2";"2026-01-19 14:15:00.000";"56";"1"
"14821215";"1";"2026-01-19 12:30:00.000";"23";"1"
"14821342";"2";"2026-01-19 12:30:00.000";"29";"1"
"14821399";"1";"2026-01-19 12:30:00.000";"14";"1"
"14821569";"2";"2026-01-19 12:30:00.000";"27";"1"
"14821801";"1";"2026-01-19 10:45:00.000";"14";"1"
"14821991";"1";"2026-01-19 14:45:00.000";"25";"1"
"14822090";"2";"2026-01-19 14:30:00.000";"16";"1"
"14822144";"2";"2026-01-19 13:00:00.000";"31";"1"
"14822336";"2";"2026-01-18 21:45:00.000";"17";"1"
"14822504";"2";"2026-01-19 11:00:00.000";"29";"1"
"14822553";"2";"2026-01-19 10:15:00.000";"20";"1"
"14822628";"2";"2026-01-19 13:45:00.000";"26";"1"
"14824201";"2";"2026-01-19 10:30:00.000";"18";"1"
"14874346";"1";"2026-01-19 14:15:00.000";"15";"1"
"14874482";"1";"2026-01-19 13:45:00.000";"18";"1"
"14874863";"1";"2026-01-18 23:00:00.000";"23";"1"
"14874946";"1";"2026-01-19 14:30:00.000";"30";"1"
"14885583";"2";"2026-01-19 15:00:00.000";"46";"1"
"14885658";"1";"2026-01-19 15:00:00.000";"22";"2"
"14886063";"1";"2026-01-19 12:00:00.000";"23";"1"
"14886090";"1";"2026-01-19 14:00:00.000";"22";"1"
"14886131";"2";"2026-01-19 14:00:00.000";"42";"1"
"14886372";"1";"2026-01-19 12:15:00.000";"20";"1"
"14886450";"1";"2026-01-19 13:30:00.000";"28";"1"
"14886517";"1";"2026-01-19 15:00:00.000";"12";"1"
"14886589";"1";"2026-01-19 15:00:00.000";"5";"1"
"14886643";"1";"2026-01-19 15:00:00.000";"23";"1"
"14886676";"1";"2026-01-19 14:15:00.000";"33";"1"
"14886850";"1";"2026-01-19 15:00:00.000";"8";"1"
"14886877";"2";"2026-01-19 14:30:00.000";"23";"1"
"14886931";"1";"2026-01-19 14:45:00.000";"20";"1"
